date,BZ=F,CL=F,GC=F,HG=F,HO=F,NG=F,PA=F,PL=F,SI=F,ZC=F
2010-01-04,80.12000274658203,81.51000213623047,1117.699951171875,3.388000011444092,2.190500020980835,5.883999824523926,419.79998779296875,1517.300048828125,17.440000534057617,418.5
2010-01-05,80.58999633789062,81.7699966430664,1118.0999755859375,3.3959999084472656,2.1940999031066895,5.63700008392334,420.3500061035156,1530.800048828125,17.7810001373291,418.75
2010-01-06,81.88999938964844,83.18000030517578,1135.9000244140625,3.4774999618530273,2.203200101852417,6.008999824523926,425.6000061035156,1552.199951171875,18.163000106811523,421.75
2010-01-07,81.51000213623047,82.66000366210938,1133.0999755859375,3.4114999771118164,2.1835999488830566,5.806000232696533,422.95001220703125,1553.0,18.33300018310547,417.5
2010-01-08,81.37000274658203,82.75,1138.199951171875,3.388000011444092,2.2002999782562256,5.749000072479248,424.1499938964844,1564.5999755859375,18.45800018310547,423.0
2010-01-11,80.97000122070312,82.5199966430664,1150.699951171875,3.428499937057495,2.1800999641418457,5.453999996185303,430.95001220703125,1588.300048828125,18.683000564575195,422.5
2010-01-12,79.30000305175781,80.79000091552734,1128.9000244140625,3.3375000953674316,2.1317999362945557,5.591000080108643,424.79998779296875,1573.9000244140625,18.243000030517578,392.5
2010-01-13,78.30999755859375,79.6500015258789,1136.4000244140625,3.387500047683716,2.094599962234497,5.732999801635742,423.95001220703125,1570.199951171875,18.538000106811523,384.0
2010-01-14,77.81999969482422,79.38999938964844,1142.5999755859375,3.375999927520752,2.082900047302246,5.5879998207092285,442.79998779296875,1600.0999755859375,18.64299964904785,381.0
2010-01-15,77.11000061035156,78.0,1130.0999755859375,3.3550000190734863,2.0460000038146973,5.690999984741211,447.5,1591.4000244140625,18.410999298095703,371.5
2010-01-19,77.62999725341797,79.0199966430664,1139.699951171875,3.437000036239624,2.0453999042510986,5.557000160217285,461.70001220703125,1635.0999755859375,18.784000396728516,369.25
2010-01-20,76.31999969482422,77.62000274658203,1112.300048828125,3.3459999561309814,2.0211000442504883,5.495999813079834,461.79998779296875,1611.0999755859375,17.865999221801758,368.0
2010-01-21,74.58000183105469,76.08000183105469,1102.699951171875,3.2850000858306885,1.9855999946594238,5.614999771118164,453.70001220703125,1587.0999755859375,17.496000289916992,372.0
